"Date","Number of Sales (7-day)"
"2018-04-02",0
"2018-04-03",0
"2018-04-04",0
"2018-04-05",6
"2018-04-06",10
"2018-04-07",11
"2018-04-08",13
"2018-04-09",17
"2018-04-10",17
"2018-04-11",17
"2018-04-12",11
"2018-04-13",7
"2018-04-14",7
"2018-04-15",5
"2018-04-16",1
"2018-04-17",2
"2018-04-18",2
"2018-04-19",5
"2018-04-20",8
"2018-04-21",7
"2018-04-22",7
"2018-04-23",8
"2018-04-24",9
"2018-04-25",13
"2018-04-26",10
"2018-04-27",9
"2018-04-28",11
"2018-04-29",12
"2018-04-30",16
"2018-05-01",19
"2018-05-02",17
"2018-05-03",18
"2018-05-04",16
"2018-05-05",15
"2018-05-06",15
"2018-05-07",13
"2018-05-08",10
"2018-05-09",10
"2018-05-10",10
"2018-05-11",10
"2018-05-12",13
"2018-05-13",15
"2018-05-14",16
"2018-05-15",16
"2018-05-16",17
"2018-05-17",20
"2018-05-18",26
"2018-05-19",25
"2018-05-20",31
"2018-05-21",44
"2018-05-22",72
"2018-05-23",81
"2018-05-24",89
"2018-05-25",94
"2018-05-26",100
"2018-05-27",92
"2018-05-28",81
"2018-05-29",53
"2018-05-30",50
"2018-05-31",41
"2018-06-01",35
"2018-06-02",30
"2018-06-03",31
"2018-06-04",28
"2018-06-05",27
"2018-06-06",26
"2018-06-07",29
"2018-06-08",28
"2018-06-09",37
"2018-06-10",37
"2018-06-11",40
"2018-06-12",40
"2018-06-13",33
"2018-06-14",29
"2018-06-15",29
"2018-06-16",16
"2018-06-17",15
"2018-06-18",10
"2018-06-19",11
"2018-06-20",11
"2018-06-21",14
"2018-06-22",18
"2018-06-23",21
"2018-06-24",22
"2018-06-25",23
"2018-06-26",21
"2018-06-27",22
"2018-06-28",21
"2018-06-29",17
"2018-06-30",15
"2018-07-01",15
"2018-07-02",14
"2018-07-03",14
"2018-07-04",13
"2018-07-05",11
"2018-07-06",8
"2018-07-07",7
"2018-07-08",6
"2018-07-09",5
"2018-07-10",7
"2018-07-11",8
"2018-07-12",8
"2018-07-13",12
"2018-07-14",12
"2018-07-15",11
"2018-07-16",13
"2018-07-17",17
"2018-07-18",19
"2018-07-19",21
"2018-07-20",21
"2018-07-21",26
"2018-07-22",29
"2018-07-23",45
"2018-07-24",41
"2018-07-25",39
"2018-07-26",36
"2018-07-27",38
"2018-07-28",34
"2018-07-29",32
"2018-07-30",15
"2018-07-31",17
"2018-08-01",17
"2018-08-02",20
"2018-08-03",14
"2018-08-04",17
"2018-08-05",16
"2018-08-06",16
"2018-08-07",16
"2018-08-08",16
"2018-08-09",14
"2018-08-10",13
"2018-08-11",9
"2018-08-12",12
"2018-08-13",15
"2018-08-14",13
"2018-08-15",14
"2018-08-16",25
"2018-08-17",25
"2018-08-18",32
"2018-08-19",34
"2018-08-20",35
"2018-08-21",36
"2018-08-22",39
"2018-08-23",28
"2018-08-24",34
"2018-08-25",29
"2018-08-26",25
"2018-08-27",22
"2018-08-28",22
"2018-08-29",16
"2018-08-30",14
"2018-08-31",9
"2018-09-01",11
"2018-09-02",15
"2018-09-03",14
"2018-09-04",14
"2018-09-05",17
"2018-09-06",27
"2018-09-07",37
"2018-09-08",33
"2018-09-09",35
"2018-09-10",36
"2018-09-11",39
"2018-09-12",36
"2018-09-13",33
"2018-09-14",23
"2018-09-15",42
"2018-09-16",50
"2018-09-17",60
"2018-09-18",72
"2018-09-19",73
"2018-09-20",68
"2018-09-21",71
"2018-09-22",61
"2018-09-23",51
"2018-09-24",42
"2018-09-25",33
"2018-09-26",34
"2018-09-27",38
"2018-09-28",38
"2018-09-29",32
"2018-09-30",29
"2018-10-01",29
"2018-10-02",25
"2018-10-03",28
"2018-10-04",28
"2018-10-05",33
"2018-10-06",42
"2018-10-07",40
"2018-10-08",41
"2018-10-09",56
"2018-10-10",54
"2018-10-11",56
"2018-10-12",49
"2018-10-13",41
"2018-10-14",41
"2018-10-15",38
"2018-10-16",20
"2018-10-17",19
"2018-10-18",12
"2018-10-19",12
"2018-10-20",11
"2018-10-21",17
"2018-10-22",18
"2018-10-23",19
"2018-10-24",26
"2018-10-25",31
"2018-10-26",37
"2018-10-27",42
"2018-10-28",45
"2018-10-29",48
"2018-10-30",47
"2018-10-31",42
"2018-11-01",38
"2018-11-02",37
"2018-11-03",34
"2018-11-04",34
"2018-11-05",39
"2018-11-06",46
"2018-11-07",44
"2018-11-08",64
"2018-11-09",66
"2018-11-10",82
"2018-11-11",89
"2018-11-12",87
"2018-11-13",98
"2018-11-14",104
"2018-11-15",89
"2018-11-16",99
"2018-11-17",84
"2018-11-18",74
"2018-11-19",77
"2018-11-20",68
"2018-11-21",64
"2018-11-22",67
"2018-11-23",61
"2018-11-24",82
"2018-11-25",84
"2018-11-26",81
"2018-11-27",89
"2018-11-28",91
"2018-11-29",92
"2018-11-30",94
"2018-12-01",74
"2018-12-02",73
"2018-12-03",89
"2018-12-04",73
"2018-12-05",77
"2018-12-06",81
"2018-12-07",82
"2018-12-08",81
"2018-12-09",82
"2018-12-10",63
"2018-12-11",60
"2018-12-12",59
"2018-12-13",49
"2018-12-14",49
"2018-12-15",51
"2018-12-16",64
"2018-12-17",68
"2018-12-18",82
"2018-12-19",82
"2018-12-20",111
"2018-12-21",104
"2018-12-22",101
"2018-12-23",82
"2018-12-24",81
