"Date","Number of Sales (7-day)"
"2017-06-22",0
"2017-06-23",19
"2017-06-24",40
"2017-06-25",53
"2017-06-26",67
"2017-06-27",100
"2017-06-28",115
"2017-06-29",153
"2017-06-30",155
"2017-07-01",144
"2017-07-02",162
"2017-07-03",199
"2017-07-04",224
"2017-07-05",227
"2017-07-06",212
"2017-07-07",228
"2017-07-08",248
"2017-07-09",229
"2017-07-10",195
"2017-07-11",180
"2017-07-12",179
"2017-07-13",187
"2017-07-14",157
"2017-07-15",132
"2017-07-16",123
"2017-07-17",111
"2017-07-18",98
"2017-07-19",112
"2017-07-20",102
"2017-07-21",116
"2017-07-22",124
"2017-07-23",127
"2017-07-24",137
"2017-07-25",115
"2017-07-26",89
"2017-07-27",70
"2017-07-28",54
"2017-07-29",49
"2017-07-30",59
"2017-07-31",46
"2017-08-01",40
"2017-08-02",36
"2017-08-03",55
"2017-08-04",50
"2017-08-05",44
"2017-08-06",28
"2017-08-07",27
"2017-08-08",30
"2017-08-09",32
"2017-08-10",13
"2017-08-11",21
"2017-08-12",36
"2017-08-13",43
"2017-08-14",45
"2017-08-15",44
"2017-08-16",43
"2017-08-17",43
"2017-08-18",36
"2017-08-19",20
"2017-08-20",14
"2017-08-21",19
"2017-08-22",16
"2017-08-23",16
"2017-08-24",14
"2017-08-25",16
"2017-08-26",16
"2017-08-27",15
"2017-08-28",16
"2017-08-29",16
"2017-08-30",16
"2017-08-31",17
"2017-09-01",19
"2017-09-02",21
"2017-09-03",21
"2017-09-04",15
"2017-09-05",14
"2017-09-06",12
"2017-09-07",11
"2017-09-08",7
"2017-09-09",4
"2017-09-10",7
"2017-09-11",6
"2017-09-12",8
"2017-09-13",8
"2017-09-14",8
"2017-09-15",7
"2017-09-16",8
"2017-09-17",7
"2017-09-18",6
"2017-09-19",8
"2017-09-20",11
"2017-09-21",15
"2017-09-22",16
"2017-09-23",19
"2017-09-24",18
"2017-09-25",17
"2017-09-26",13
"2017-09-27",14
"2017-09-28",11
"2017-09-29",17
"2017-09-30",23
"2017-10-01",23
"2017-10-02",23
"2017-10-03",23
"2017-10-04",20
"2017-10-05",19
"2017-10-06",12
"2017-10-07",2
"2017-10-08",2
"2017-10-09",3
"2017-10-10",3
"2017-10-11",3
"2017-10-12",4
"2017-10-13",8
"2017-10-14",12
"2017-10-15",14
"2017-10-16",15
"2017-10-17",15
"2017-10-18",14
"2017-10-19",14
"2017-10-20",11
"2017-10-21",8
"2017-10-22",5
"2017-10-23",3
"2017-10-24",3
"2017-10-25",4
"2017-10-26",10
"2017-10-27",15
"2017-10-28",20
"2017-10-29",21
"2017-10-30",24
"2017-10-31",30
"2017-11-01",33
"2017-11-02",29
"2017-11-03",23
"2017-11-04",20
"2017-11-05",19
"2017-11-06",16
"2017-11-07",11
"2017-11-08",7
"2017-11-09",6
"2017-11-10",6
"2017-11-11",3
"2017-11-12",4
"2017-11-13",6
"2017-11-14",6
"2017-11-15",8
"2017-11-16",6
"2017-11-17",6
"2017-11-18",6
"2017-11-19",6
"2017-11-20",8
"2017-11-21",112
"2017-11-22",172
"2017-11-23",1052
"2017-11-24",4145
"2017-11-25",6174
"2017-11-26",7420
"2017-11-27",8384
"2017-11-28",9872
"2017-11-29",15195
"2017-11-30",22488
"2017-12-01",27228
"2017-12-02",38265
"2017-12-03",65791
"2017-12-04",103685
"2017-12-05",143999
"2017-12-06",171535
"2017-12-07",201052
"2017-12-08",238209
"2017-12-09",275673
"2017-12-10",299357
"2017-12-11",307526
"2017-12-12",303620
"2017-12-13",300345
"2017-12-14",293984
"2017-12-15",271915
"2017-12-16",244109
"2017-12-17",210610
"2017-12-18",181454
"2017-12-19",156195
"2017-12-20",142695
"2017-12-21",121954
"2017-12-22",108877
"2017-12-23",97462
"2017-12-24",89286
"2017-12-25",79841
"2017-12-26",74235
"2017-12-27",66806
"2017-12-28",65966
"2017-12-29",64471
"2017-12-30",59741
"2017-12-31",55873
"2018-01-01",54842
"2018-01-02",54354
"2018-01-03",49401
"2018-01-04",42254
"2018-01-05",35980
"2018-01-06",32279
"2018-01-07",28525
"2018-01-08",23674
"2018-01-09",18834
"2018-01-10",16430
"2018-01-11",15888
"2018-01-12",16326
"2018-01-13",15931
"2018-01-14",15551
"2018-01-15",14820
"2018-01-16",15045
"2018-01-17",15966
"2018-01-18",16597
"2018-01-19",17130
"2018-01-20",17789
"2018-01-21",17983
"2018-01-22",19071
"2018-01-23",19821
"2018-01-24",20128
"2018-01-25",19624
"2018-01-26",19234
"2018-01-27",19143
"2018-01-28",18765
"2018-01-29",18191
"2018-01-30",18354
"2018-01-31",18559
"2018-02-01",18406
"2018-02-02",18154
"2018-02-03",17367
"2018-02-04",16809
"2018-02-05",16694
"2018-02-06",16884
"2018-02-07",16877
"2018-02-08",17440
"2018-02-09",17609
"2018-02-10",17242
"2018-02-11",18316
"2018-02-12",18997
"2018-02-13",19221
"2018-02-14",21870
"2018-02-15",25494
"2018-02-16",27797
"2018-02-17",30085
"2018-02-18",31170
"2018-02-19",33120
"2018-02-20",34150
"2018-02-21",32645
"2018-02-22",30140
"2018-02-23",29354
"2018-02-24",33604
"2018-02-25",38538
"2018-02-26",40434
"2018-02-27",44409
"2018-02-28",48143
"2018-03-01",50501
"2018-03-02",50761
"2018-03-03",46701
"2018-03-04",42014
"2018-03-05",39332
"2018-03-06",34206
"2018-03-07",30891
"2018-03-08",31216
"2018-03-09",32631
"2018-03-10",37272
"2018-03-11",37032
"2018-03-12",37521
"2018-03-13",37834
"2018-03-14",37694
"2018-03-15",35036
"2018-03-16",32265
"2018-03-17",26836
"2018-03-18",25078
"2018-03-19",23174
"2018-03-20",22116
"2018-03-21",20749
"2018-03-22",19970
"2018-03-23",19666
"2018-03-24",18854
"2018-03-25",22460
"2018-03-26",22286
"2018-03-27",22556
"2018-03-28",22499
"2018-03-29",22590
"2018-03-30",24826
"2018-03-31",24282
"2018-04-01",20377
"2018-04-02",20331
"2018-04-03",20010
"2018-04-04",19521
"2018-04-05",18592
"2018-04-06",16603
"2018-04-07",16558
"2018-04-08",21370
"2018-04-09",23827
"2018-04-10",24032
"2018-04-11",24723
"2018-04-12",25152
"2018-04-13",27958
"2018-04-14",30048
"2018-04-15",26681
"2018-04-16",25140
"2018-04-17",27237
"2018-04-18",28065
"2018-04-19",28980
"2018-04-20",27021
"2018-04-21",24888
"2018-04-22",22774
"2018-04-23",20876
"2018-04-24",17648
"2018-04-25",15443
"2018-04-26",13316
"2018-04-27",12314
"2018-04-28",14716
"2018-04-29",22178
"2018-04-30",23410
"2018-05-01",23319
"2018-05-02",23208
"2018-05-03",23046
"2018-05-04",22445
"2018-05-05",20987
"2018-05-06",14326
"2018-05-07",13928
"2018-05-08",15694
"2018-05-09",16071
"2018-05-10",16587
"2018-05-11",16604
"2018-05-12",15475
"2018-05-13",14723
"2018-05-14",13671
"2018-05-15",11926
"2018-05-16",12197
"2018-05-17",14161
"2018-05-18",15152
"2018-05-19",16652
"2018-05-20",17464
"2018-05-21",17825
"2018-05-22",17930
"2018-05-23",17179
"2018-05-24",15954
"2018-05-25",14699
"2018-05-26",13588
"2018-05-27",13611
"2018-05-28",13890
"2018-05-29",16195
"2018-05-30",18908
"2018-05-31",19517
"2018-06-01",20081
"2018-06-02",20328
"2018-06-03",19996
"2018-06-04",19895
"2018-06-05",18280
"2018-06-06",15874
"2018-06-07",14597
"2018-06-08",13869
"2018-06-09",13571
"2018-06-10",13138
"2018-06-11",13627
"2018-06-12",13127
"2018-06-13",12990
"2018-06-14",12416
"2018-06-15",15049
"2018-06-16",14550
"2018-06-17",14384
"2018-06-18",13671
"2018-06-19",13488
"2018-06-20",13194
"2018-06-21",13536
"2018-06-22",13367
"2018-06-23",13768
"2018-06-24",14589
"2018-06-25",14985
"2018-06-26",15095
"2018-06-27",15444
"2018-06-28",15790
"2018-06-29",13917
"2018-06-30",13431
"2018-07-01",12228
"2018-07-02",10863
"2018-07-03",9683
"2018-07-04",8675
"2018-07-05",7626
"2018-07-06",6683
"2018-07-07",5886
"2018-07-08",5931
"2018-07-09",7259
"2018-07-10",8280
"2018-07-11",9726
"2018-07-12",11305
"2018-07-13",13236
"2018-07-14",13767
"2018-07-15",13848
"2018-07-16",13559
"2018-07-17",13289
"2018-07-18",12716
"2018-07-19",11974
"2018-07-20",10062
"2018-07-21",10433
"2018-07-22",10641
"2018-07-23",10801
"2018-07-24",10978
"2018-07-25",11419
"2018-07-26",12531
"2018-07-27",14672
"2018-07-28",15507
"2018-07-29",15747
"2018-07-30",15356
"2018-07-31",15511
"2018-08-01",15665
"2018-08-02",14400
"2018-08-03",11989
"2018-08-04",10702
"2018-08-05",10181
"2018-08-06",9776
"2018-08-07",9143
"2018-08-08",8363
"2018-08-09",8021
"2018-08-10",8041
"2018-08-11",8174
"2018-08-12",8802
"2018-08-13",9500
"2018-08-14",10835
"2018-08-15",11849
"2018-08-16",13431
"2018-08-17",16863
"2018-08-18",20490
"2018-08-19",24352
"2018-08-20",25570
"2018-08-21",25627
"2018-08-22",25325
"2018-08-23",25987
"2018-08-24",25835
"2018-08-25",24791
"2018-08-26",22338
"2018-08-27",23553
"2018-08-28",24650
"2018-08-29",26801
"2018-08-30",30865
"2018-08-31",35866
"2018-09-01",40409
"2018-09-02",44675
"2018-09-03",47002
"2018-09-04",47896
"2018-09-05",48658
"2018-09-06",47357
"2018-09-07",45126
"2018-09-08",41963
"2018-09-09",43040
"2018-09-10",44133
"2018-09-11",49881
"2018-09-12",54200
"2018-09-13",51803
"2018-09-14",48523
"2018-09-15",46181
"2018-09-16",40169
"2018-09-17",35725
"2018-09-18",29343
"2018-09-19",24971
"2018-09-20",25123
"2018-09-21",25338
"2018-09-22",28576
"2018-09-23",30973
"2018-09-24",32301
"2018-09-25",32747
"2018-09-26",33225
"2018-09-27",34869
"2018-09-28",33868
"2018-09-29",31477
"2018-09-30",31188
"2018-10-01",30542
"2018-10-02",28779
"2018-10-03",26388
"2018-10-04",24576
"2018-10-05",27994
"2018-10-06",27626
"2018-10-07",26722
"2018-10-08",26596
"2018-10-09",27226
"2018-10-10",27465
"2018-10-11",28847
"2018-10-12",25757
"2018-10-13",24727
"2018-10-14",22901
"2018-10-15",21328
"2018-10-16",20684
"2018-10-17",21828
"2018-10-18",19366
"2018-10-19",23153
"2018-10-20",24460
"2018-10-21",27184
"2018-10-22",28615
"2018-10-23",30436
"2018-10-24",29597
"2018-10-25",29676
"2018-10-26",26072
"2018-10-27",26407
"2018-10-28",24980
"2018-10-29",24849
"2018-10-30",23638
"2018-10-31",23011
"2018-11-01",23120
"2018-11-02",22010
"2018-11-03",21447
"2018-11-04",21778
"2018-11-05",22131
"2018-11-06",22129
"2018-11-07",23251
"2018-11-08",23164
"2018-11-09",23173
"2018-11-10",22485
"2018-11-11",21767
"2018-11-12",21017
"2018-11-13",22377
"2018-11-14",23036
"2018-11-15",29610
"2018-11-16",32251
"2018-11-17",32853
"2018-11-18",33685
"2018-11-19",33586
"2018-11-20",32111
"2018-11-21",32331
"2018-11-22",27970
"2018-11-23",26193
"2018-11-24",25590
"2018-11-25",26212
"2018-11-26",28082
"2018-11-27",30688
"2018-11-28",30107
"2018-11-29",28824
"2018-11-30",29879
"2018-12-01",36822
"2018-12-02",39181
"2018-12-03",40745
"2018-12-04",41003
"2018-12-05",49341
"2018-12-06",50337
"2018-12-07",51239
"2018-12-08",44563
"2018-12-09",41099
"2018-12-10",37116
"2018-12-11",33808
"2018-12-12",23762
"2018-12-13",23508
"2018-12-14",21414
"2018-12-15",23230
"2018-12-16",24701
"2018-12-17",25731
"2018-12-18",25902
"2018-12-19",25802
"2018-12-20",23756
"2018-12-21",22388
"2018-12-22",19324
"2018-12-23",17733
"2018-12-24",17486
"2018-12-25",17169
"2018-12-26",16731
"2018-12-27",16117
"2018-12-28",16321
"2018-12-29",16409
"2018-12-30",15479
"2018-12-31",14392
"2019-01-01",13592
"2019-01-02",13156
"2019-01-03",12881
"2019-01-04",12189
"2019-01-05",11884
"2019-01-06",11412
"2019-01-07",11540
"2019-01-08",11202
"2019-01-09",10745
"2019-01-10",10969
"2019-01-11",15959
"2019-01-12",18119
"2019-01-13",20096
"2019-01-14",21159
"2019-01-15",22759
"2019-01-16",24378
"2019-01-17",25046
"2019-01-18",21549
"2019-01-19",20364
"2019-01-20",19875
"2019-01-21",19213
"2019-01-22",17855
"2019-01-23",16746
"2019-01-24",15930
"2019-01-25",14501
"2019-01-26",16694
"2019-01-27",17865
"2019-01-28",17722
"2019-01-29",18238
"2019-01-30",18367
"2019-01-31",18640
"2019-02-01",19325
"2019-02-02",16769
"2019-02-03",15017
"2019-02-04",14220
