"Date","Number of Sales (7-day)"
"2021-01-15",0
"2021-01-16",23
"2021-01-17",97
"2021-01-18",180
"2021-01-19",258
"2021-01-20",296
"2021-01-21",335
"2021-01-22",503
"2021-01-23",535
"2021-01-24",478
"2021-01-25",448
"2021-01-26",412
"2021-01-27",510
"2021-01-28",499
"2021-01-29",421
"2021-01-30",424
"2021-01-31",443
"2021-02-01",420
"2021-02-02",417
"2021-02-03",325
"2021-02-04",324
"2021-02-05",273
"2021-02-06",269
"2021-02-07",278
"2021-02-08",297
"2021-02-09",272
"2021-02-10",241
"2021-02-11",226
"2021-02-12",199
"2021-02-13",149
"2021-02-14",119
"2021-02-15",94
"2021-02-16",88
"2021-02-17",79
"2021-02-18",78
"2021-02-19",96
"2021-02-20",99
"2021-02-21",91
"2021-02-22",71
"2021-02-23",66
"2021-02-24",116
"2021-02-25",117
"2021-02-26",92
"2021-02-27",109
"2021-02-28",118
"2021-03-01",118
"2021-03-02",126
"2021-03-03",84
"2021-03-04",89
"2021-03-05",106
"2021-03-06",102
"2021-03-07",113
"2021-03-08",118
"2021-03-09",108
"2021-03-10",106
"2021-03-11",91
"2021-03-12",72
"2021-03-13",53
"2021-03-14",32
"2021-03-15",28
"2021-03-16",29
"2021-03-17",30
"2021-03-18",36
"2021-03-19",34
"2021-03-20",40
"2021-03-21",38
"2021-03-22",37
"2021-03-23",42
"2021-03-24",32
"2021-03-25",29
"2021-03-26",48
"2021-03-27",54
"2021-03-28",52
"2021-03-29",58
"2021-03-30",53
"2021-03-31",53
"2021-04-01",51
"2021-04-02",34
"2021-04-03",26
"2021-04-04",24
"2021-04-05",21
"2021-04-06",21
"2021-04-07",21
"2021-04-08",49
"2021-04-09",52
"2021-04-10",52
"2021-04-11",75
"2021-04-12",69
"2021-04-13",70
"2021-04-14",69
"2021-04-15",38
"2021-04-16",34
"2021-04-17",29
"2021-04-18",6
"2021-04-19",7
"2021-04-20",7
"2021-04-21",7
"2021-04-22",9
"2021-04-23",18
"2021-04-24",20
"2021-04-25",24
"2021-04-26",25
"2021-04-27",28
"2021-04-28",32
"2021-04-29",35
"2021-04-30",31
"2021-05-01",50
"2021-05-02",51
"2021-05-03",51
"2021-05-04",49
"2021-05-05",48
"2021-05-06",44
"2021-05-07",37
"2021-05-08",17
"2021-05-09",13
"2021-05-10",10
"2021-05-11",8
"2021-05-12",5
"2021-05-13",6
"2021-05-14",6
"2021-05-15",6
"2021-05-16",5
"2021-05-17",5
"2021-05-18",4
"2021-05-19",5
"2021-05-20",3
"2021-05-21",5
"2021-05-22",5
"2021-05-23",5
"2021-05-24",8
"2021-05-25",7
"2021-05-26",24
"2021-05-27",50
"2021-05-28",56
"2021-05-29",55
"2021-05-30",55
"2021-05-31",53
"2021-06-01",71
"2021-06-02",55
"2021-06-03",63
"2021-06-04",55
"2021-06-05",56
"2021-06-06",57
"2021-06-07",56
"2021-06-08",38
"2021-06-09",36
"2021-06-10",3
"2021-06-11",4
"2021-06-12",4
"2021-06-13",3
"2021-06-14",3
"2021-06-15",3
"2021-06-16",3
"2021-06-17",2
"2021-06-18",1
"2021-06-19",1
"2021-06-20",1
"2021-06-21",1
"2021-06-22",1
"2021-06-23",1
"2021-06-24",1
"2021-06-25",1
"2021-06-26",0
"2021-06-27",0
"2021-06-28",1
"2021-06-29",1
"2021-06-30",1
"2021-07-01",4
"2021-07-02",4
"2021-07-03",4
"2021-07-04",4
"2021-07-05",3
"2021-07-06",3
"2021-07-07",3
"2021-07-08",2
"2021-07-09",2
"2021-07-10",2
"2021-07-11",2
"2021-07-12",4
"2021-07-13",4
"2021-07-14",4
"2021-07-15",4
"2021-07-16",4
"2021-07-17",4
"2021-07-18",4
"2021-07-19",3
"2021-07-20",4
"2021-07-21",4
"2021-07-22",2
"2021-07-23",2
"2021-07-24",3
"2021-07-25",3
"2021-07-26",2
"2021-07-27",3
"2021-07-28",4
"2021-07-29",4
"2021-07-30",4
"2021-07-31",3
"2021-08-01",3
"2021-08-02",3
"2021-08-03",2
"2021-08-04",2
"2021-08-05",2
"2021-08-06",2
"2021-08-07",2
"2021-08-08",5
"2021-08-09",5
"2021-08-10",5
"2021-08-11",5
"2021-08-12",5
"2021-08-13",7
"2021-08-14",9
"2021-08-15",7
"2021-08-16",9
"2021-08-17",8
"2021-08-18",8
"2021-08-19",9
"2021-08-20",7
"2021-08-21",7
"2021-08-22",9
"2021-08-23",7
"2021-08-24",7
"2021-08-25",6
"2021-08-26",6
"2021-08-27",8
"2021-08-28",22
"2021-08-29",21
"2021-08-30",36
"2021-08-31",12945
"2021-09-01",13272
"2021-09-02",13589
"2021-09-03",13731
"2021-09-04",13912
