"Date","Number of Sales (7-day)"
"2017-12-25",11
"2017-12-26",24
"2017-12-27",85
"2017-12-28",92
"2017-12-29",108
"2017-12-30",114
"2017-12-31",133
"2018-01-01",133
"2018-01-02",120
"2018-01-03",59
"2018-01-04",55
"2018-01-05",40
"2018-01-06",35
"2018-01-07",16
"2018-01-08",7
"2018-01-09",11
"2018-01-10",17
"2018-01-11",37
"2018-01-12",49
"2018-01-13",65
"2018-01-14",81
"2018-01-15",99
"2018-01-16",104
"2018-01-17",114
"2018-01-18",131
"2018-01-19",208
"2018-01-20",271
"2018-01-21",380
"2018-01-22",503
"2018-01-23",603
"2018-01-24",654
"2018-01-25",699
"2018-01-26",738
"2018-01-27",749
"2018-01-28",726
"2018-01-29",688
"2018-01-30",642
"2018-01-31",653
"2018-02-01",618
"2018-02-02",562
"2018-02-03",543
"2018-02-04",494
"2018-02-05",481
"2018-02-06",613
"2018-02-07",684
"2018-02-08",762
"2018-02-09",941
"2018-02-10",1121
"2018-02-11",1345
"2018-02-12",1584
"2018-02-13",1672
"2018-02-14",1716
"2018-02-15",1784
"2018-02-16",2103
"2018-02-17",2015
"2018-02-18",1959
"2018-02-19",1772
"2018-02-20",1658
"2018-02-21",1594
"2018-02-22",1563
"2018-02-23",1080
"2018-02-24",995
"2018-02-25",843
"2018-02-26",752
"2018-02-27",681
"2018-02-28",611
"2018-03-01",525
"2018-03-02",492
"2018-03-03",481
"2018-03-04",1115
"2018-03-05",1418
"2018-03-06",1893
"2018-03-07",2287
"2018-03-08",2557
"2018-03-09",2689
"2018-03-10",2768
"2018-03-11",2299
"2018-03-12",2227
"2018-03-13",1860
"2018-03-14",1649
"2018-03-15",1496
"2018-03-16",1444
"2018-03-17",1476
"2018-03-18",1620
"2018-03-19",1778
"2018-03-20",1970
"2018-03-21",2193
"2018-03-22",2382
"2018-03-23",2661
"2018-03-24",2820
"2018-03-25",2683
"2018-03-26",2783
"2018-03-27",3034
"2018-03-28",3372
"2018-03-29",3745
"2018-03-30",4098
"2018-03-31",4655
"2018-04-01",5125
"2018-04-02",5334
"2018-04-03",5446
"2018-04-04",5326
"2018-04-05",5166
"2018-04-06",5252
"2018-04-07",4891
"2018-04-08",4660
"2018-04-09",4280
"2018-04-10",4131
"2018-04-11",3908
"2018-04-12",3689
"2018-04-13",3255
"2018-04-14",3311
"2018-04-15",3161
"2018-04-16",3228
"2018-04-17",2955
"2018-04-18",2821
"2018-04-19",2829
"2018-04-20",2687
"2018-04-21",2520
"2018-04-22",2505
"2018-04-23",2465
"2018-04-24",2806
"2018-04-25",3134
"2018-04-26",3184
"2018-04-27",3405
"2018-04-28",3567
"2018-04-29",4172
"2018-04-30",4336
"2018-05-01",4380
"2018-05-02",4228
"2018-05-03",4268
"2018-05-04",4360
"2018-05-05",4156
"2018-05-06",3748
"2018-05-07",3609
"2018-05-08",3371
"2018-05-09",3351
"2018-05-10",3236
"2018-05-11",2934
"2018-05-12",2854
"2018-05-13",2598
"2018-05-14",2342
"2018-05-15",2044
"2018-05-16",1855
"2018-05-17",1698
"2018-05-18",1585
"2018-05-19",1457
"2018-05-20",1493
"2018-05-21",1542
"2018-05-22",1615
"2018-05-23",1612
"2018-05-24",1988
"2018-05-25",2156
"2018-05-26",2359
"2018-05-27",2525
"2018-05-28",2514
"2018-05-29",2494
"2018-05-30",2605
"2018-05-31",2316
"2018-06-01",2333
"2018-06-02",2258
"2018-06-03",2091
"2018-06-04",2302
"2018-06-05",2305
"2018-06-06",2184
"2018-06-07",2271
"2018-06-08",2185
"2018-06-09",2340
"2018-06-10",2504
"2018-06-11",2533
"2018-06-12",2770
"2018-06-13",3035
"2018-06-14",3012
"2018-06-15",3083
"2018-06-16",2957
"2018-06-17",3235
"2018-06-18",3677
"2018-06-19",4228
"2018-06-20",4205
"2018-06-21",5092
"2018-06-22",5469
"2018-06-23",5760
"2018-06-24",5659
"2018-06-25",5257
"2018-06-26",4719
"2018-06-27",4898
"2018-06-28",4273
"2018-06-29",4383
"2018-06-30",4400
"2018-07-01",4027
"2018-07-02",3654
"2018-07-03",3272
"2018-07-04",2690
"2018-07-05",2235
"2018-07-06",1567
"2018-07-07",1057
"2018-07-08",1141
"2018-07-09",1723
"2018-07-10",1968
"2018-07-11",2142
"2018-07-12",2401
"2018-07-13",2653
"2018-07-14",2693
"2018-07-15",2588
"2018-07-16",2363
"2018-07-17",2515
"2018-07-18",2560
"2018-07-19",2731
"2018-07-20",2766
"2018-07-21",3027
"2018-07-22",3646
"2018-07-23",3900
"2018-07-24",3861
"2018-07-25",4071
"2018-07-26",4099
"2018-07-27",4185
"2018-07-28",4240
"2018-07-29",3980
"2018-07-30",3711
"2018-07-31",3727
"2018-08-01",3637
"2018-08-02",3853
"2018-08-03",3911
"2018-08-04",4060
"2018-08-05",4198
"2018-08-06",4376
"2018-08-07",4343
"2018-08-08",4053
"2018-08-09",3447
"2018-08-10",3142
"2018-08-11",2877
"2018-08-12",2851
"2018-08-13",3252
"2018-08-14",3913
"2018-08-15",4829
"2018-08-16",5622
"2018-08-17",5918
"2018-08-18",7069
"2018-08-19",7989
"2018-08-20",7777
"2018-08-21",8064
"2018-08-22",7587
"2018-08-23",7445
"2018-08-24",7767
"2018-08-25",7243
"2018-08-26",6400
"2018-08-27",6537
"2018-08-28",5948
"2018-08-29",6246
"2018-08-30",6285
"2018-08-31",6630
"2018-09-01",6671
"2018-09-02",6673
"2018-09-03",6670
"2018-09-04",6588
"2018-09-05",6419
"2018-09-06",6668
"2018-09-07",6213
"2018-09-08",5892
"2018-09-09",5827
"2018-09-10",5470
"2018-09-11",5492
"2018-09-12",5290
"2018-09-13",4674
"2018-09-14",4641
"2018-09-15",4553
"2018-09-16",4586
"2018-09-17",4795
"2018-09-18",4627
"2018-09-19",4593
"2018-09-20",4556
"2018-09-21",4952
"2018-09-22",5056
"2018-09-23",4879
"2018-09-24",4499
"2018-09-25",4555
"2018-09-26",4577
"2018-09-27",4706
"2018-09-28",4040
"2018-09-29",3616
"2018-09-30",3471
"2018-10-01",3700
"2018-10-02",3812
"2018-10-03",4097
"2018-10-04",3995
"2018-10-05",4269
"2018-10-06",4852
"2018-10-07",5256
"2018-10-08",5197
"2018-10-09",5134
"2018-10-10",5452
"2018-10-11",6025
"2018-10-12",6438
"2018-10-13",6925
"2018-10-14",7547
"2018-10-15",8018
"2018-10-16",8341
"2018-10-17",8403
"2018-10-18",8095
"2018-10-19",7709
"2018-10-20",7160
"2018-10-21",6654
"2018-10-22",6305
"2018-10-23",6309
"2018-10-24",5870
"2018-10-25",5834
"2018-10-26",5931
"2018-10-27",6313
"2018-10-28",6488
"2018-10-29",6690
"2018-10-30",6509
"2018-10-31",6636
"2018-11-01",6904
"2018-11-02",7235
"2018-11-03",6986
"2018-11-04",6935
"2018-11-05",6650
"2018-11-06",6502
"2018-11-07",6912
"2018-11-08",6778
"2018-11-09",6473
"2018-11-10",6654
"2018-11-11",6884
"2018-11-12",7263
"2018-11-13",7503
"2018-11-14",6915
"2018-11-15",6967
"2018-11-16",7294
"2018-11-17",7520
"2018-11-18",7253
"2018-11-19",7324
"2018-11-20",7586
"2018-11-21",8263
"2018-11-22",9047
"2018-11-23",8932
"2018-11-24",9174
"2018-11-25",9123
"2018-11-26",9119
"2018-11-27",8691
"2018-11-28",8200
"2018-11-29",7233
"2018-11-30",7620
"2018-12-01",6940
"2018-12-02",6959
"2018-12-03",6690
"2018-12-04",6661
"2018-12-05",6739
"2018-12-06",6799
"2018-12-07",6309
"2018-12-08",6636
"2018-12-09",6957
"2018-12-10",6954
"2018-12-11",7333
"2018-12-12",7689
"2018-12-13",7898
"2018-12-14",8355
"2018-12-15",8290
"2018-12-16",8475
"2018-12-17",9026
"2018-12-18",9018
"2018-12-19",8911
"2018-12-20",9054
"2018-12-21",8592
"2018-12-22",8583
"2018-12-23",8259
"2018-12-24",7801
"2018-12-25",7574
"2018-12-26",7254
"2018-12-27",7116
"2018-12-28",7205
"2018-12-29",7056
"2018-12-30",6880
"2018-12-31",7316
"2019-01-01",7448
"2019-01-02",7609
"2019-01-03",7690
"2019-01-04",7853
"2019-01-05",7868
"2019-01-06",7999
"2019-01-07",7663
"2019-01-08",7857
"2019-01-09",8009
"2019-01-10",8565
"2019-01-11",9365
"2019-01-12",10275
"2019-01-13",11037
"2019-01-14",11380
"2019-01-15",11664
"2019-01-16",12088
"2019-01-17",11730
"2019-01-18",11254
"2019-01-19",10771
"2019-01-20",10444
"2019-01-21",10870
"2019-01-22",10473
"2019-01-23",10212
"2019-01-24",11133
"2019-01-25",11292
"2019-01-26",12085
"2019-01-27",13156
"2019-01-28",13756
"2019-01-29",14055
"2019-01-30",14235
"2019-01-31",13120
"2019-02-01",12833
"2019-02-02",12294
"2019-02-03",11856
"2019-02-04",11101
"2019-02-05",11445
"2019-02-06",11245
"2019-02-07",11413
"2019-02-08",11055
"2019-02-09",10747
"2019-02-10",9716
"2019-02-11",9116
"2019-02-12",8434
"2019-02-13",8130
"2019-02-14",8679
"2019-02-15",9153
"2019-02-16",9465
"2019-02-17",9723
"2019-02-18",10045
"2019-02-19",9736
"2019-02-20",9718
"2019-02-21",8668
"2019-02-22",7802
"2019-02-23",7209
"2019-02-24",6751
"2019-02-25",5927
"2019-02-26",5847
"2019-02-27",5877
"2019-02-28",5816
"2019-03-01",6662
"2019-03-02",7325
"2019-03-03",8252
"2019-03-04",9484
"2019-03-05",10183
"2019-03-06",10747
"2019-03-07",11535
"2019-03-08",11309
"2019-03-09",10895
"2019-03-10",10690
"2019-03-11",10456
"2019-03-12",10413
"2019-03-13",10109
"2019-03-14",9891
"2019-03-15",10110
"2019-03-16",10330
"2019-03-17",10214
"2019-03-18",10868
"2019-03-19",11370
"2019-03-20",11811
"2019-03-21",11963
"2019-03-22",12094
"2019-03-23",12664
"2019-03-24",12757
"2019-03-25",12292
"2019-03-26",11884
"2019-03-27",11527
"2019-03-28",11651
"2019-03-29",34345
"2019-03-30",36832
"2019-03-31",40279
"2019-04-01",43566
"2019-04-02",45078
"2019-04-03",45747
"2019-04-04",46010
"2019-04-05",23629
"2019-04-06",20997
"2019-04-07",17819
"2019-04-08",14183
"2019-04-09",13187
"2019-04-10",12676
"2019-04-11",12177
"2019-04-12",12258
"2019-04-13",11873
"2019-04-14",11572
"2019-04-15",11219
"2019-04-16",10372
"2019-04-17",10298
"2019-04-18",10405
"2019-04-19",10089
"2019-04-20",10500
"2019-04-21",10489
"2019-04-22",10983
"2019-04-23",11539
"2019-04-24",11702
"2019-04-25",12013
"2019-04-26",11379
"2019-04-27",10968
"2019-04-28",11176
"2019-04-29",11305
"2019-04-30",11661
"2019-05-01",11967
"2019-05-02",11544
"2019-05-03",11658
"2019-05-04",12010
"2019-05-05",12148
"2019-05-06",11915
"2019-05-07",10736
"2019-05-08",10190
"2019-05-09",10864
"2019-05-10",11230
"2019-05-11",11074
"2019-05-12",10475
"2019-05-13",10307
"2019-05-14",10594
"2019-05-15",9948
"2019-05-16",8630
"2019-05-17",8889
"2019-05-18",9211
"2019-05-19",9914
"2019-05-20",10368
"2019-05-21",11037
"2019-05-22",11803
"2019-05-23",12377
"2019-05-24",12629
"2019-05-25",12167
"2019-05-26",11990
"2019-05-27",11991
"2019-05-28",11485
"2019-05-29",11074
"2019-05-30",10854
"2019-05-31",9798
"2019-06-01",9234
"2019-06-02",8935
"2019-06-03",9006
"2019-06-04",8998
"2019-06-05",9480
"2019-06-06",9583
"2019-06-07",10731
"2019-06-08",10690
"2019-06-09",11281
"2019-06-10",10464
"2019-06-11",10697
"2019-06-12",10705
"2019-06-13",11136
"2019-06-14",10655
"2019-06-15",11050
"2019-06-16",10683
"2019-06-17",10999
"2019-06-18",11146
"2019-06-19",11016
"2019-06-20",10466
"2019-06-21",10462
"2019-06-22",10665
"2019-06-23",10224
"2019-06-24",10913
"2019-06-25",10220
"2019-06-26",9696
"2019-06-27",9670
"2019-06-28",8705
"2019-06-29",8454
"2019-06-30",8029
"2019-07-01",6785
"2019-07-02",6717
"2019-07-03",6786
"2019-07-04",7120
"2019-07-05",7468
"2019-07-06",7534
"2019-07-07",7997
"2019-07-08",8386
"2019-07-09",8795
"2019-07-10",9310
"2019-07-11",8837
"2019-07-12",9094
"2019-07-13",9287
"2019-07-14",9208
"2019-07-15",9732
"2019-07-16",8851
"2019-07-17",8658
"2019-07-18",10030
"2019-07-19",10015
"2019-07-20",10203
"2019-07-21",10833
"2019-07-22",10536
"2019-07-23",11513
"2019-07-24",11354
"2019-07-25",10226
"2019-07-26",11096
"2019-07-27",10848
"2019-07-28",10658
"2019-07-29",11390
"2019-07-30",12391
"2019-07-31",12814
"2019-08-01",12691
"2019-08-02",11765
"2019-08-03",11566
"2019-08-04",11737
"2019-08-05",11729
"2019-08-06",10405
"2019-08-07",10470
"2019-08-08",11411
"2019-08-09",11785
"2019-08-10",11690
"2019-08-11",11119
"2019-08-12",10590
"2019-08-13",10909
"2019-08-14",10991
"2019-08-15",10880
"2019-08-16",10956
