"Date","Sales USD"
"2021-01-15",0
"2021-01-16",12426.51
"2021-01-17",45231.86
"2021-01-18",22854.62
"2021-01-19",15064.63
"2021-01-20",9050.41
"2021-01-21",8013.39
"2021-01-22",81786.52
"2021-01-23",23373.96
"2021-01-24",7699.7
"2021-01-25",19371.51
"2021-01-26",9714.76
"2021-01-27",75516.61
"2021-01-28",7974.15
"2021-01-29",227047.36
"2021-01-30",10712.84
"2021-01-31",7297.64
"2021-02-01",3880.93
"2021-02-02",29704.72
"2021-02-03",62562.74
"2021-02-04",4375.58
"2021-02-05",8423.61
"2021-02-06",21356.87
"2021-02-07",19369.74
"2021-02-08",91661.82
"2021-02-09",4972.52
"2021-02-10",4201.23
"2021-02-11",6815.17
"2021-02-12",7505.12
"2021-02-13",780.42
"2021-02-14",2749.56
"2021-02-15",5292.62
"2021-02-16",1528.49
"2021-02-17",778.49
"2021-02-18",2561.3
"2021-02-19",7443.37
"2021-02-20",1420.59
"2021-02-21",3395.5
"2021-02-22",4139.83
"2021-02-23",474.44
"2021-02-24",40287.2
"2021-02-25",74864.92
"2021-02-26",867.32
"2021-02-27",22949.04
"2021-02-28",3040.21
"2021-03-01",2042.13
"2021-03-02",1516.99
"2021-03-03",4530.09
"2021-03-04",11974.12
"2021-03-05",10431.54
"2021-03-06",4945.69
"2021-03-07",62841.43
"2021-03-08",31963.06
"2021-03-09",273.55
"2021-03-10",4035.32
"2021-03-11",608.2
"2021-03-12",1943.68
"2021-03-13",935.68
"2021-03-14",3919.99
"2021-03-15",884.59
"2021-03-16",817.97
"2021-03-17",1656.62
"2021-03-18",1799.51
"2021-03-19",549.28
"2021-03-20",2096.78
"2021-03-21",2107.75
"2021-03-22",2290.49
"2021-03-23",2041.91
"2021-03-24",840.36
"2021-03-25",728.5
"2021-03-26",51238.82
"2021-03-27",4864.98
"2021-03-28",283.1
"2021-03-29",28418.37
"2021-03-30",676.7
"2021-03-31",170.56
"2021-04-01",9691.28
"2021-04-02",1365.14
"2021-04-03",1727.75
"2021-04-04",0
"2021-04-05",1059.32
"2021-04-06",7904.92
"2021-04-07",994.64
"2021-04-08",83937.02
"2021-04-09",2979
"2021-04-10",491.97
"2021-04-11",21801.1
"2021-04-12",618.65
"2021-04-13",1544.44
"2021-04-14",0
"2021-04-15",0
"2021-04-16",1774.14
"2021-04-17",0
"2021-04-18",0
"2021-04-19",2408.37
"2021-04-20",1530.23
"2021-04-21",0
"2021-04-22",1831.5
"2021-04-23",73896.93
"2021-04-24",268.59
"2021-04-25",684.54
"2021-04-26",1941.33
"2021-04-27",4863.38
"2021-04-28",5192.54
"2021-04-29",6867.36
"2021-04-30",6097.64
"2021-05-01",13421.68
"2021-05-02",1094.28
"2021-05-03",2141.91
"2021-05-04",2465.69
"2021-05-05",876.18
"2021-05-06",2040.04
"2021-05-07",0
"2021-05-08",218.01
"2021-05-09",235.51
"2021-05-10",0
"2021-05-11",32871.13
"2021-05-12",0
"2021-05-13",751.16
"2021-05-14",0
"2021-05-15",263.73
"2021-05-16",0
"2021-05-17",0
"2021-05-18",273.34
"2021-05-19",238.23
"2021-05-20",0
"2021-05-21",426.72
"2021-05-22",187.75
"2021-05-23",0
"2021-05-24",519.5
"2021-05-25",0
"2021-05-26",4228.24
"2021-05-27",15693.9
"2021-05-28",1876.95
"2021-05-29",0
"2021-05-30",0
"2021-05-31",230.99
"2021-06-01",5843.01
"2021-06-02",717.42
"2021-06-03",9214.22
"2021-06-04",0
"2021-06-05",289.37
"2021-06-06",948.81
"2021-06-07",0
"2021-06-08",0
"2021-06-09",0
"2021-06-10",1246.72
"2021-06-11",1193.32
"2021-06-12",3767.31
"2021-06-13",0
"2021-06-14",0
"2021-06-15",0
"2021-06-16",0
