"Date","Sales USD"
"2017-12-25",73.01
"2017-12-26",94.67
"2017-12-27",3659.24
"2017-12-28",73.63
"2017-12-29",10816.53
"2017-12-30",469.31
"2017-12-31",493.87
"2018-01-01",597.43
"2018-01-02",0
"2018-01-03",0
"2018-01-04",71.41
"2018-01-05",20.1
"2018-01-06",84.16
"2018-01-07",0
"2018-01-08",248.22
"2018-01-09",46.02
"2018-01-10",273.67
"2018-01-11",1957.15
"2018-01-12",478.74
"2018-01-13",1571.99
"2018-01-14",1019.34
"2018-01-15",941.98
"2018-01-16",324.25
"2018-01-17",1040.52
"2018-01-18",1773.14
"2018-01-19",3872.38
"2018-01-20",9651.99
"2018-01-21",4122.38
"2018-01-22",4578.53
"2018-01-23",5534.38
"2018-01-24",8882.48
"2018-01-25",2276.64
"2018-01-26",5977.55
"2018-01-27",4597.85
"2018-01-28",3467.8
"2018-01-29",3068.26
"2018-01-30",1634.21
"2018-01-31",4286.51
"2018-02-01",1468.81
"2018-02-02",1633.74
"2018-02-03",2903.95
"2018-02-04",1940.61
"2018-02-05",1815.01
"2018-02-06",2374.68
"2018-02-07",2107.73
"2018-02-08",1992.72
"2018-02-09",5908.53
"2018-02-10",4091.15
"2018-02-11",4627.73
"2018-02-12",6935.39
"2018-02-13",4621.01
"2018-02-14",2682.85
"2018-02-15",3418.53
"2018-02-16",8710.31
"2018-02-17",2720.26
"2018-02-18",3886.68
"2018-02-19",3097.42
"2018-02-20",3107.02
"2018-02-21",2889.65
"2018-02-22",2831.05
"2018-02-23",1254.35
"2018-02-24",1386.8
"2018-02-25",822.54
"2018-02-26",880.36
"2018-02-27",1537.02
"2018-02-28",870.24
"2018-03-01",928.17
"2018-03-02",665.84
"2018-03-03",838.61
"2018-03-04",140878.84
"2018-03-05",27210.93
"2018-03-06",32905.38
"2018-03-07",31915.96
"2018-03-08",10613.28
"2018-03-09",16696.55
"2018-03-10",17975.19
"2018-03-11",17991.6
"2018-03-12",17266.89
"2018-03-13",23004.45
"2018-03-14",5614.46
"2018-03-15",5181.89
"2018-03-16",4521.26
"2018-03-17",7502.48
"2018-03-18",13533.28
"2018-03-19",7348.93
"2018-03-20",9119.85
"2018-03-21",13009.61
"2018-03-22",7366.88
"2018-03-23",7316.12
"2018-03-24",4510.02
"2018-03-25",15037.2
"2018-03-26",17749.16
"2018-03-27",28283.09
"2018-03-28",18944.13
"2018-03-29",9923.15
"2018-03-30",12422.85
"2018-03-31",13764.84
"2018-04-01",8078.91
"2018-04-02",8369.06
"2018-04-03",12455.19
"2018-04-04",9180.61
"2018-04-05",6461.12
"2018-04-06",11310.2
"2018-04-07",4773.33
"2018-04-08",5690.59
"2018-04-09",5611.55
"2018-04-10",5275.78
"2018-04-11",11696.83
"2018-04-12",5686.95
"2018-04-13",6285.19
"2018-04-14",5801.65
"2018-04-15",5074.67
"2018-04-16",11385.8
"2018-04-17",5886.19
"2018-04-18",3813.73
"2018-04-19",7744.45
"2018-04-20",5149.12
"2018-04-21",7158.42
"2018-04-22",3521.37
"2018-04-23",100209.76
"2018-04-24",11618.09
"2018-04-25",14119.59
"2018-04-26",13031.66
"2018-04-27",5844.61
"2018-04-28",6725.84
"2018-04-29",5506.7
"2018-04-30",6651.27
"2018-05-01",8247.48
"2018-05-02",5686.74
"2018-05-03",8065.29
"2018-05-04",13010.58
"2018-05-05",8419.39
"2018-05-06",13434.41
"2018-05-07",11452.78
"2018-05-08",10426.69
"2018-05-09",13363.72
"2018-05-10",8019.82
"2018-05-11",3703.98
"2018-05-12",3429.67
"2018-05-13",3265.39
"2018-05-14",2167.68
"2018-05-15",3729.44
"2018-05-16",7683.61
"2018-05-17",5218.42
"2018-05-18",3185.37
"2018-05-19",2436.57
"2018-05-20",4007.33
"2018-05-21",5482.58
"2018-05-22",9223.63
"2018-05-23",4448.34
"2018-05-24",7887.36
"2018-05-25",9271.21
"2018-05-26",11763.89
"2018-05-27",9890.33
"2018-05-28",8274.7
"2018-05-29",19157.6
"2018-05-30",8483.67
"2018-05-31",6095.26
"2018-06-01",5966.42
"2018-06-02",6302.03
"2018-06-03",4062.8
"2018-06-04",10898.57
"2018-06-05",8991.41
"2018-06-06",10900.24
"2018-06-07",19477.04
"2018-06-08",18959.61
"2018-06-09",9516.71
"2018-06-10",8343.5
"2018-06-11",6261.37
"2018-06-12",7216.92
"2018-06-13",14513
"2018-06-14",6205.31
"2018-06-15",3958.73
"2018-06-16",4115.24
"2018-06-17",7731.36
"2018-06-18",14069.74
"2018-06-19",12522.96
"2018-06-20",6635.06
"2018-06-21",16157.89
"2018-06-22",11969.38
"2018-06-23",7437.87
"2018-06-24",6110.97
"2018-06-25",14723.3
"2018-06-26",5181.18
"2018-06-27",6614.58
"2018-06-28",6013.7
"2018-06-29",10810.52
"2018-06-30",7057.16
"2018-07-01",2911.08
"2018-07-02",1493.16
"2018-07-03",3283.05
"2018-07-04",5452.24
"2018-07-05",4284.72
"2018-07-06",3973.36
"2018-07-07",2123.45
"2018-07-08",3675.57
"2018-07-09",10119.35
"2018-07-10",4449.38
"2018-07-11",5100.26
"2018-07-12",7505.18
"2018-07-13",5329.99
"2018-07-14",4349.95
"2018-07-15",5889.25
"2018-07-16",8830.99
"2018-07-17",6593.65
"2018-07-18",6069.67
"2018-07-19",5433.57
"2018-07-20",5782.82
"2018-07-21",6725.28
"2018-07-22",6885.89
"2018-07-23",7045.76
"2018-07-24",3570.77
"2018-07-25",6714.92
"2018-07-26",5341
"2018-07-27",366649.33
"2018-07-28",871705.17
"2018-07-29",7913.72
"2018-07-30",131963.57
"2018-07-31",70413.48
"2018-08-01",11498.31
"2018-08-02",216768.08
"2018-08-03",29103.78
"2018-08-04",42366.96
"2018-08-05",46874.01
"2018-08-06",31539.29
"2018-08-07",23600.73
"2018-08-08",17267.14
"2018-08-09",19254.02
"2018-08-10",5872.84
"2018-08-11",7830.36
"2018-08-12",11600.59
"2018-08-13",14068.1
"2018-08-14",9411.72
"2018-08-15",8965.65
"2018-08-16",9042.87
"2018-08-17",8837.72
"2018-08-18",13913.68
"2018-08-19",16675.36
"2018-08-20",3711.46
"2018-08-21",31959.27
"2018-08-22",8600.59
"2018-08-23",6425.05
"2018-08-24",12795.26
"2018-08-25",7546.93
"2018-08-26",9034.65
"2018-08-27",4972.36
"2018-08-28",9477.24
"2018-08-29",9060.64
"2018-08-30",8067.17
"2018-08-31",17169.48
"2018-09-01",19547.49
"2018-09-02",6651.31
"2018-09-03",12765.54
"2018-09-04",7088.95
"2018-09-05",7225.29
"2018-09-06",5240.11
"2018-09-07",6304.66
"2018-09-08",7794.57
"2018-09-09",9628.4
"2018-09-10",4339.58
"2018-09-11",4905.34
"2018-09-12",16352.03
"2018-09-13",8920.88
"2018-09-14",9247.9
"2018-09-15",7908.87
"2018-09-16",5471.24
"2018-09-17",8171.51
"2018-09-18",5381.51
"2018-09-19",6324.71
"2018-09-20",3464.79
"2018-09-21",82578.62
"2018-09-22",27850.73
"2018-09-23",8482.3
"2018-09-24",7498.37
"2018-09-25",18836.59
"2018-09-26",16011.66
"2018-09-27",42203.61
"2018-09-28",6265.84
"2018-09-29",6390.01
"2018-09-30",9573.36
"2018-10-01",8170.36
"2018-10-02",10495.33
"2018-10-03",7890.04
"2018-10-04",7952.88
"2018-10-05",14378.22
"2018-10-06",16688.4
"2018-10-07",17360.07
"2018-10-08",6229.26
"2018-10-09",6904.94
"2018-10-10",14000.05
"2018-10-11",17940.92
"2018-10-12",12700.82
"2018-10-13",10386.73
"2018-10-14",13930.5
"2018-10-15",11092.07
"2018-10-16",10367.54
"2018-10-17",9021.92
"2018-10-18",23544.03
"2018-10-19",11939.27
"2018-10-20",5701.66
"2018-10-21",7778.01
"2018-10-22",8068.74
"2018-10-23",8801
"2018-10-24",8298.5
"2018-10-25",17221.03
"2018-10-26",12530.32
"2018-10-27",10048.75
"2018-10-28",8845.34
"2018-10-29",6415.51
"2018-10-30",12413.57
"2018-10-31",10920.38
"2018-11-01",28836.22
"2018-11-02",43206.42
"2018-11-03",5741.32
"2018-11-04",8938.24
"2018-11-05",6368.67
"2018-11-06",10897.46
"2018-11-07",18215.28
"2018-11-08",13035.91
"2018-11-09",21630.91
"2018-11-10",8704.87
"2018-11-11",35229.08
"2018-11-12",24218.52
"2018-11-13",15417.51
"2018-11-14",11073.08
"2018-11-15",19755.39
"2018-11-16",14302.71
"2018-11-17",5051.48
"2018-11-18",8962.76
"2018-11-19",7106.77
"2018-11-20",6639.14
"2018-11-21",8330.11
"2018-11-22",4258.35
"2018-11-23",5629.87
"2018-11-24",5064.85
"2018-11-25",7716.36
"2018-11-26",8256.28
"2018-11-27",3181.65
"2018-11-28",14346.75
"2018-11-29",4341.17
"2018-11-30",60961.89
"2018-12-01",13345.66
"2018-12-02",9224.83
"2018-12-03",14943.68
"2018-12-04",15927.21
"2018-12-05",10800.79
"2018-12-06",7980.73
"2018-12-07",7643.19
"2018-12-08",8419.78
"2018-12-09",7346.24
"2018-12-10",6732.35
"2018-12-11",3674.33
"2018-12-12",5505.37
"2018-12-13",7442.23
"2018-12-14",7389.99
"2018-12-15",5522.94
"2018-12-16",6226.63
"2018-12-17",7850.16
"2018-12-18",5887.86
"2018-12-19",9238.72
"2018-12-20",11290.04
"2018-12-21",9129.09
"2018-12-22",12973.22
"2018-12-23",12894.69
"2018-12-24",7522.04
"2018-12-25",10636.4
"2018-12-26",9352.83
"2018-12-27",10261.76
"2018-12-28",11385.86
"2018-12-29",9262.72
"2018-12-30",7820.59
"2018-12-31",9068.4
"2019-01-01",9576.02
"2019-01-02",15571.65
"2019-01-03",12429.79
"2019-01-04",12688.04
"2019-01-05",12901.16
"2019-01-06",13140.04
"2019-01-07",11614.56
"2019-01-08",9079.48
"2019-01-09",10456.15
"2019-01-10",13451.24
"2019-01-11",11351.21
"2019-01-12",14344.31
"2019-01-13",16056.84
"2019-01-14",10097.02
"2019-01-15",14213.33
"2019-01-16",13525.71
"2019-01-17",17852.89
"2019-01-18",12615.01
"2019-01-19",22180.55
"2019-01-20",15127.71
"2019-01-21",20793.93
"2019-01-22",17252.16
"2019-01-23",14661.4
"2019-01-24",14924.61
"2019-01-25",18299.88
"2019-01-26",19058.42
"2019-01-27",21534.22
"2019-01-28",18603.2
"2019-01-29",16325.1
"2019-01-30",20888.59
"2019-01-31",13808.49
"2019-02-01",17889.56
"2019-02-02",15304.57
"2019-02-03",22144.6
"2019-02-04",9891.71
"2019-02-05",20563.45
"2019-02-06",21786.81
"2019-02-07",13360.05
"2019-02-08",15775.51
"2019-02-09",14963.07
"2019-02-10",11022.18
"2019-02-11",12298.52
"2019-02-12",13068.69
"2019-02-13",13173.97
"2019-02-14",14968.54
"2019-02-15",9504.79
"2019-02-16",10580.69
"2019-02-17",31284.31
"2019-02-18",19841.25
"2019-02-19",22471.76
"2019-02-20",30903.39
"2019-02-21",28000.09
"2019-02-22",12697.15
"2019-02-23",17054.33
"2019-02-24",21176.95
"2019-02-25",12708.89
"2019-02-26",17427.68
"2019-02-27",20326.03
"2019-02-28",10116.52
"2019-03-01",22065.31
"2019-03-02",43820.82
"2019-03-03",21494.59
"2019-03-04",33328.3
"2019-03-05",27446.66
"2019-03-06",27710.46
"2019-03-07",25669.65
"2019-03-08",29964.51
"2019-03-09",34711.16
"2019-03-10",31012.38
"2019-03-11",20227.64
"2019-03-12",26073.13
"2019-03-13",23835.71
"2019-03-14",18754.48
"2019-03-15",19530.91
"2019-03-16",36089.01
"2019-03-17",31057.68
"2019-03-18",42858.45
"2019-03-19",32999.24
"2019-03-20",30084.52
"2019-03-21",32194.84
"2019-03-22",37305.6
"2019-03-23",50423.43
"2019-03-24",35734.23
"2019-03-25",24378.22
"2019-03-26",55038.55
"2019-03-27",27668.29
"2019-03-28",30277.77
"2019-03-29",91664.16
"2019-03-30",45114.16
"2019-03-31",46505.82
"2019-04-01",39737.85
"2019-04-02",47342.56
"2019-04-03",38820.59
"2019-04-04",48065.06
"2019-04-05",44952.29
"2019-04-06",29609.3
"2019-04-07",42138.5
"2019-04-08",30988.74
"2019-04-09",27878.96
"2019-04-10",31567.88
"2019-04-11",43383.64
"2019-04-12",51143.39
"2019-04-13",30496.15
"2019-04-14",18494.38
"2019-04-15",77877.88
"2019-04-16",24460.43
"2019-04-17",27721.53
"2019-04-18",30337.54
"2019-04-19",33352.07
"2019-04-20",31963.95
"2019-04-21",33818.3
"2019-04-22",29191.68
"2019-04-23",33506.78
"2019-04-24",64178.83
"2019-04-25",19467.54
"2019-04-26",27987.38
"2019-04-27",24603.39
"2019-04-28",22471.4
"2019-04-29",24025.71
"2019-04-30",28762.04
"2019-05-01",29603.82
"2019-05-02",28322.21
"2019-05-03",23840.67
"2019-05-04",23866.1
"2019-05-05",28241.62
"2019-05-06",20470.84
"2019-05-07",23519.41
"2019-05-08",23679.71
"2019-05-09",26629.57
"2019-05-10",40513.65
"2019-05-11",19420.02
"2019-05-12",26902.28
"2019-05-13",40302.28
"2019-05-14",23719.02
"2019-05-15",54310.98
"2019-05-16",28221.84
"2019-05-17",67637.53
"2019-05-18",94483.77
"2019-05-19",67040.55
"2019-05-20",67450.53
"2019-05-21",63573.16
"2019-05-22",55865.45
"2019-05-23",59378.68
"2019-05-24",59045.25
"2019-05-25",74791.5
"2019-05-26",38311.84
"2019-05-27",161254.7
"2019-05-28",47678.26
"2019-05-29",30732.82
"2019-05-30",36234.87
"2019-05-31",52792.82
"2019-06-01",22635.31
"2019-06-02",34683.45
"2019-06-03",40400.3
"2019-06-04",26237.51
"2019-06-05",21514.87
"2019-06-06",21761.85
"2019-06-07",40783.56
"2019-06-08",22176.77
"2019-06-09",33027.92
"2019-06-10",19306.15
"2019-06-11",31076.77
"2019-06-12",26756.73
"2019-06-13",46424.23
"2019-06-14",43298.72
"2019-06-15",33117.74
"2019-06-16",27738.26
"2019-06-17",22766.79
"2019-06-18",30691.55
"2019-06-19",31985.51
"2019-06-20",24602.14
"2019-06-21",32153.01
"2019-06-22",72184.17
"2019-06-23",27201.55
"2019-06-24",36569.08
"2019-06-25",28798.67
"2019-06-26",30054.16
"2019-06-27",21561.37
"2019-06-28",22262.85
"2019-06-29",23074.13
"2019-06-30",22591.73
"2019-07-01",14841.24
"2019-07-02",14226.47
"2019-07-03",21393.49
"2019-07-04",26888.29
"2019-07-05",24994.9
"2019-07-06",18501.81
"2019-07-07",25394.46
"2019-07-08",18793.06
"2019-07-09",19241.15
"2019-07-10",33009.07
"2019-07-11",22086.1
"2019-07-12",21343.38
"2019-07-13",28254.16
"2019-07-14",25786.11
"2019-07-15",48625.3
"2019-07-16",11986.49
"2019-07-17",41261.58
"2019-07-18",18354.82
"2019-07-19",19115.15
"2019-07-20",17929.94
"2019-07-21",22354.38
"2019-07-22",23131.24
"2019-07-23",22780.53
"2019-07-24",14614.1
"2019-07-25",13896.16
"2019-07-26",20765.8
"2019-07-27",19034.93
"2019-07-28",21895.82
"2019-07-29",42161.87
"2019-07-30",39842.52
"2019-07-31",34982.46
"2019-08-01",22003.14
"2019-08-02",19554.98
"2019-08-03",27450.62
"2019-08-04",27305.64
"2019-08-05",23101.07
"2019-08-06",14475.73
"2019-08-07",23317.22
"2019-08-08",21292.77
"2019-08-09",15470.89
"2019-08-10",14527.5
"2019-08-11",17989.56
"2019-08-12",18693.2
"2019-08-13",28894.21
"2019-08-14",25612.65
"2019-08-15",20095.25
"2019-08-16",30926.18
"2019-08-17",14731.92
"2019-08-18",13052
"2019-08-19",19838.44
"2019-08-20",14421.86
"2019-08-21",14231.97
"2019-08-22",15319.11
"2019-08-23",17006.89
"2019-08-24",17877.55
"2019-08-25",23595.06
"2019-08-26",16392
"2019-08-27",21454.33
"2019-08-28",20383.72
"2019-08-29",26698.02
"2019-08-30",21945.8
"2019-08-31",24224.79
"2019-09-01",33471.57
"2019-09-02",27490.24
"2019-09-03",20334.06
"2019-09-04",39016.61
"2019-09-05",19860.31
"2019-09-06",21652.41
"2019-09-07",21511.42
"2019-09-08",20192.36
"2019-09-09",59291.36
"2019-09-10",22802.61
"2019-09-11",22598.63
"2019-09-12",33445.63
"2019-09-13",59509.75
"2019-09-14",20283.76
"2019-09-15",17170.74
"2019-09-16",30388.28
"2019-09-17",24253.11
"2019-09-18",21788.52
"2019-09-19",62918.61
"2019-09-20",19290.58
"2019-09-21",17767.31
"2019-09-22",24169.35
"2019-09-23",25183.71
"2019-09-24",25677.32
"2019-09-25",24489.79
"2019-09-26",24432.42
"2019-09-27",11986.14
"2019-09-28",12703.07
"2019-09-29",17044.7
"2019-09-30",17167.82
"2019-10-01",22549.74
"2019-10-02",28221.3
"2019-10-03",20194.67
"2019-10-04",14375.38
"2019-10-05",12811.95
"2019-10-06",42952.43
"2019-10-07",32941.95
"2019-10-08",28073.4
"2019-10-09",16210.98
"2019-10-10",43564.79
"2019-10-11",17714.34
"2019-10-12",20562.5
"2019-10-13",16167.47
"2019-10-14",35445.62
"2019-10-15",77646.03
"2019-10-16",29477.6
"2019-10-17",43127.76
"2019-10-18",38132.75
"2019-10-19",25306.33
"2019-10-20",232104.55
"2019-10-21",43957.19
"2019-10-22",33870.6
"2019-10-23",18470.92
"2019-10-24",22742.45
"2019-10-25",20391.33
"2019-10-26",25514.47
"2019-10-27",24996.93
"2019-10-28",24443.48
"2019-10-29",20419.13
"2019-10-30",34049.1
"2019-10-31",35948.22
"2019-11-01",16846.69
"2019-11-02",33767.85
"2019-11-03",27454.29
"2019-11-04",33941.85
"2019-11-05",27445.61
"2019-11-06",26557.41
"2019-11-07",21313.58
"2019-11-08",16184.89
"2019-11-09",19518.11
"2019-11-10",39158.03
"2019-11-11",16716.49
"2019-11-12",21390.27
"2019-11-13",22054.09
"2019-11-14",19729.29
"2019-11-15",15233.7
"2019-11-16",13954.88
"2019-11-17",31032.21
"2019-11-18",24591.04
"2019-11-19",29222.98
"2019-11-20",28288.05
"2019-11-21",22551.1
"2019-11-22",118331.93
"2019-11-23",85818.09
"2019-11-24",74342.98
"2019-11-25",56770.55
"2019-11-26",45663.3
"2019-11-27",59667.5
"2019-11-28",65147.33
"2019-11-29",81147.18
"2019-11-30",74683.57
"2019-12-01",66847.54
"2019-12-02",53518.29
"2019-12-03",72597.46
"2019-12-04",52404.36
"2019-12-05",73161.12
"2019-12-06",38857.95
"2019-12-07",34720.98
"2019-12-08",52858.15
"2019-12-09",78850.61
"2019-12-10",64519.19
"2019-12-11",39255.65
"2019-12-12",26919.78
"2019-12-13",31091.44
"2019-12-14",35228.06
"2019-12-15",27435.71
"2019-12-16",41790.56
"2019-12-17",33425.51
"2019-12-18",182728.94
"2019-12-19",82856.09
"2019-12-20",72439.94
"2019-12-21",50497.78
"2019-12-22",43767.25
"2019-12-23",58893.43
"2019-12-24",55923.12
"2019-12-25",47005.83
"2019-12-26",89371.42
"2019-12-27",60946.91
"2019-12-28",49596.34
"2019-12-29",65935.36
"2019-12-30",37538.63
"2019-12-31",21574.23
"2020-01-01",23435.2
"2020-01-02",47746.52
"2020-01-03",49217.89
"2020-01-04",94455.29
"2020-01-05",56829.9
"2020-01-06",84884.36
"2020-01-07",60622.35
"2020-01-08",64042.25
"2020-01-09",33448.22
"2020-01-10",45721.78
"2020-01-11",49736
"2020-01-12",36707.29
"2020-01-13",39898.93
"2020-01-14",33415.39
"2020-01-15",34726.04
"2020-01-16",39046.02
"2020-01-17",35152.08
"2020-01-18",32804.79
"2020-01-19",27013.91
"2020-01-20",24084.79
"2020-01-21",24264.62
"2020-01-22",42133.54
"2020-01-23",129728.03
"2020-01-24",44261.11
"2020-01-25",37574.44
"2020-01-26",46253.75
"2020-01-27",37637.29
"2020-01-28",34922.41
"2020-01-29",33463.9
"2020-01-30",25751.28
"2020-01-31",53018.29
"2020-02-01",22379.11
"2020-02-02",33296.72
"2020-02-03",54496.33
"2020-02-04",21351.86
"2020-02-05",45493.22
"2020-02-06",42981.07
"2020-02-07",35317.36
"2020-02-08",35778.88
"2020-02-09",31211.18
"2020-02-10",33050.74
"2020-02-11",40895.67
"2020-02-12",35129.74
"2020-02-13",47284.79
"2020-02-14",42036.16
"2020-02-15",48792.03
"2020-02-16",36144.13
"2020-02-17",36043.3
"2020-02-18",29145.63
"2020-02-19",30067.89
"2020-02-20",40001.47
"2020-02-21",39234.84
"2020-02-22",39628.97
"2020-02-23",35542.61
"2020-02-24",61089.72
"2020-02-25",29221.26
"2020-02-26",48654.3
"2020-02-27",30270.73
"2020-02-28",40136.69
"2020-02-29",34367.84
"2020-03-01",33788.28
"2020-03-02",42820.25
"2020-03-03",49134.32
"2020-03-04",48880.41
"2020-03-05",27572.83
"2020-03-06",37433.01
"2020-03-07",38679.12
"2020-03-08",33815.33
"2020-03-09",30949.06
"2020-03-10",35771.47
"2020-03-11",35670.43
"2020-03-12",16396.54
"2020-03-13",21493.92
"2020-03-14",20166.43
"2020-03-15",19653.09
"2020-03-16",22609.29
"2020-03-17",23111.7
"2020-03-18",23819.74
"2020-03-19",26830.89
"2020-03-20",24656.74
"2020-03-21",16871.15
"2020-03-22",34622.27
"2020-03-23",38980.93
"2020-03-24",23093.67
"2020-03-25",17547.7
"2020-03-26",26035.24
"2020-03-27",22031.71
"2020-03-28",34233.42
"2020-03-29",30863.71
"2020-03-30",35031.58
"2020-03-31",19324.13
"2020-04-01",19278.06
"2020-04-02",26233.99
"2020-04-03",26296.51
"2020-04-04",28986.32
"2020-04-05",19236.99
"2020-04-06",15700.05
"2020-04-07",22775.95
"2020-04-08",24940.68
"2020-04-09",22731.83
"2020-04-10",15725.59
"2020-04-11",24129.75
"2020-04-12",23750.93
"2020-04-13",24803.14
"2020-04-14",25499.49
"2020-04-15",16388.83
"2020-04-16",20123.35
"2020-04-17",19177.77
"2020-04-18",20550.87
"2020-04-19",22421.79
"2020-04-20",18293.33
"2020-04-21",30121.74
"2020-04-22",37896.12
"2020-04-23",40727.64
"2020-04-24",22597.73
"2020-04-25",26180.16
"2020-04-26",57902.66
"2020-04-27",30240.67
"2020-04-28",19269.4
"2020-04-29",19568.67
"2020-04-30",27230.62
"2020-05-01",45773.3
"2020-05-02",34571.91
"2020-05-03",28736.08
"2020-05-04",22254.3
"2020-05-05",25122.35
"2020-05-06",15627.78
"2020-05-07",16467.6
"2020-05-08",29171.78
"2020-05-09",20732.94
"2020-05-10",19630.69
"2020-05-11",15401.38
"2020-05-12",26295.85
"2020-05-13",15967.38
"2020-05-14",30448.42
"2020-05-15",16422.23
"2020-05-16",15989.95
"2020-05-17",17207.53
"2020-05-18",24176.53
"2020-05-19",18468.86
"2020-05-20",17833.84
"2020-05-21",31688.72
"2020-05-22",10841.3
"2020-05-23",27078.42
"2020-05-24",23373.04
"2020-05-25",57806.83
"2020-05-26",24669.88
"2020-05-27",19555.2
"2020-05-28",22233.51
