"Date","Sales USD"
"2018-04-27",72.84
"2018-04-28",134.35
"2018-04-29",50.9
"2018-04-30",87.73
"2018-05-01",66.83
"2018-05-02",83.41
"2018-05-03",81.73
"2018-05-04",147.93
"2018-05-05",82.79
"2018-05-06",51.78
"2018-05-07",24.89
"2018-05-08",74.01
"2018-05-09",34.94
"2018-05-10",28.31
"2018-05-11",25.85
"2018-05-12",10.04
"2018-05-13",12.95
"2018-05-14",9.21
"2018-05-15",10.18
"2018-05-16",7.95
"2018-05-17",7.57
"2018-05-18",5.09
"2018-05-19",12.72
"2018-05-20",21.66
"2018-05-21",3.01
"2018-05-22",7.63
"2018-05-23",13.74
"2018-05-24",6
"2018-05-25",12.88
"2018-05-26",2.58
"2018-05-27",5.94
"2018-05-28",5.88
"2018-05-29",2.24
"2018-05-30",10.82
"2018-05-31",3.46
"2018-06-01",12.84
"2018-06-02",9.02
"2018-06-03",4.18
"2018-06-04",3.73
"2018-06-05",5.38
"2018-06-06",3.58
"2018-06-07",4.94
"2018-06-08",1.72
"2018-06-09",3.18
"2018-06-10",4.23
"2018-06-11",8.66
"2018-06-12",1.33
"2018-06-13",5.06
"2018-06-14",1.02
"2018-06-15",0.36
"2018-06-16",2.18
"2018-06-17",1.07
"2018-06-18",1.06
"2018-06-19",2.15
"2018-06-20",1
"2018-06-21",2.83
"2018-06-22",0.09
"2018-06-23",2.39
"2018-06-24",0.07
"2018-06-25",0.91
"2018-06-26",0.32
"2018-06-27",0.78
"2018-06-28",0.07
"2018-06-29",0.76
"2018-06-30",3.2
"2018-07-01",0
"2018-07-02",0
"2018-07-03",0.99
"2018-07-04",0
"2018-07-05",0.1
"2018-07-06",1.94
"2018-07-07",0
"2018-07-08",2.47
"2018-07-09",0.12
"2018-07-10",0.11
"2018-07-11",0.97
"2018-07-12",0
"2018-07-13",0
"2018-07-14",0
"2018-07-15",0
"2018-07-16",2.04
"2018-07-17",0.22
"2018-07-18",0
"2018-07-19",3.68
"2018-07-20",1.37
"2018-07-21",0
"2018-07-22",0
"2018-07-23",0.1
"2018-07-24",0.09
"2018-07-25",0.2
"2018-07-26",0.2
"2018-07-27",0
"2018-07-28",1.08
"2018-07-29",1
"2018-07-30",0.28
"2018-07-31",0
"2018-08-01",0.17
"2018-08-02",0
"2018-08-03",2.57
"2018-08-04",3.67
"2018-08-05",10.38
"2018-08-06",21.14
"2018-08-07",12.82
"2018-08-08",4.16
"2018-08-09",12.73
"2018-08-10",16.07
"2018-08-11",0.06
"2018-08-12",0.76
"2018-08-13",62.26
"2018-08-14",67.24
"2018-08-15",293.3
"2018-08-16",497.75
"2018-08-17",135.48
"2018-08-18",11.38
"2018-08-19",0.04
"2018-08-20",23.36
"2018-08-21",5.83
"2018-08-22",0.04
"2018-08-23",11.98
"2018-08-24",83.06
"2018-08-25",47.23
"2018-08-26",0.05
"2018-08-27",127.77
"2018-08-28",111.91
"2018-08-29",130.98
"2018-08-30",197.81
"2018-08-31",111.67
"2018-09-01",51.56
"2018-09-02",69.33
"2018-09-03",362.53
"2018-09-04",0
"2018-09-05",291.38
"2018-09-06",0
"2018-09-07",580.95
"2018-09-08",0.43
"2018-09-09",180.11
"2018-09-10",309.93
"2018-09-11",0
"2018-09-12",125.06
"2018-09-13",212.79
"2018-09-14",863.08
"2018-09-15",240.37
"2018-09-16",0.08
"2018-09-17",0.41
"2018-09-18",29.3
"2018-09-19",543.53
"2018-09-20",334.67
"2018-09-21",1392.39
"2018-09-22",110.02
"2018-09-23",0.05
"2018-09-24",242.73
"2018-09-25",0.86
"2018-09-26",454.71
"2018-09-27",4076.59
"2018-09-28",2018.73
"2018-09-29",271.23
"2018-09-30",0.05
"2018-10-01",1226.32
"2018-10-02",28.51
"2018-10-03",0
"2018-10-04",2108.81
"2018-10-05",815.81
"2018-10-06",52.79
"2018-10-07",0
"2018-10-08",0
"2018-10-09",1349.35
